City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
415,Tres Arroyos,AR,70.93,clear sky,-38.37,-60.28,Habitacion Triple con baño y entrada privada
421,Sabya,SA,86.0,few clouds,17.15,42.63,Aseel Hotel Apartment
422,Marawi,PH,75.0,overcast clouds,8.0,124.29,Derogongan Residence
423,San Felipe,VE,81.99,few clouds,10.34,-68.74,Posada Llovizna Rodríguez
424,Labelle,US,87.01,overcast clouds,26.76,-81.44,La Belle Motel
425,Maine-Soroa,NE,82.54,clear sky,13.21,12.02,
427,Okakarara,,78.3,overcast clouds,-20.58,17.43,"Okahitua, Omaboro City"
428,Sinnar,SD,88.68,clear sky,13.57,33.57,فندق الرشيد
431,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
434,Paraiso,CR,73.4,broken clouds,9.84,-83.87,Rinconcito Verde
435,Puri,IN,73.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
436,Nouadhibou,MR,77.0,clear sky,20.93,-17.03,El Medina
437,Santa Rosa,PH,80.6,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
440,Hobyo,SO,79.2,scattered clouds,5.35,48.53,Osmani Hotel
441,Santa Cruz De La Palma,ES,71.6,scattered clouds,28.68,-17.76,H10 Taburiente Playa
442,Buin,CL,80.6,clear sky,-33.73,-70.75,Paihuen
445,Ongandjera,,78.51,scattered clouds,-17.88,15.07,Onesto Guesthouse
449,Maceio,BR,80.6,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
451,Takoradi,GH,78.03,light rain,4.88,-1.76,Raybow International Hotel
452,Chum Phae,TH,70.84,overcast clouds,16.54,102.1,Major Grand
454,San Cristobal,VE,89.6,scattered clouds,7.77,-72.22,Pirineos
455,Vaitape,PF,80.94,light rain,-16.52,-151.75,Conrad Bora Bora Nui
461,Vanimo,PG,77.2,scattered clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
464,Caraguatatuba,BR,80.6,scattered clouds,-23.63,-45.49,Cibele Cass
469,Alamos,MX,89.01,clear sky,27.02,-108.93,Luz del Sol
472,Mayahi,NE,84.31,scattered clouds,13.96,7.67,
474,Tual,ID,81.99,moderate rain,-5.67,132.75,Grand Vilia Hotel
475,Cuenca,EC,73.4,scattered clouds,-2.88,-78.98,Hotel Cuenca
479,Manokwari,ID,79.21,clear sky,-0.87,134.08,Swiss Belhotel Manokwari
480,Piacabucu,BR,78.57,clear sky,-10.41,-36.43,Piaçabuçu News
482,Oussouye,SN,86.0,clear sky,12.48,-16.55,Auberge du Routard
483,Vila Velha,BR,77.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
486,Alofi,NU,73.4,broken clouds,-19.06,-169.92,Taloa Heights
489,San Andres,CO,86.0,broken clouds,12.58,-81.7,Hotel Arena Blanca
492,Umm Kaddadah,SD,83.48,clear sky,13.6,26.69,
494,Bandar,ID,71.92,overcast clouds,2.05,99.75,
495,Acari,PE,73.31,broken clouds,-15.43,-74.62,Hospedaje Ximens
507,Xai-Xai,MZ,72.28,clear sky,-25.05,33.64,Platinum Hotel
512,Madang,PG,76.93,scattered clouds,-5.22,145.8,Comfort Inn Hotel
515,Ouango,CF,70.14,overcast clouds,4.31,22.56,
520,Wilmington,US,73.99,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
521,Begoro,GH,71.15,broken clouds,6.39,-0.38,MR ODAME
522,Guaruja,BR,78.01,few clouds,-23.99,-46.26,Charme Hotel Guarujá
526,Ixtapa,MX,89.6,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
527,Guerrero Negro,MX,74.08,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
528,Caravelas,BR,75.6,clear sky,-17.71,-39.25,Pousada dos Navegantes
530,Manono,CD,71.24,overcast clouds,-7.3,27.42,Hotel hewa bora
535,Illapel,CL,76.86,clear sky,-31.63,-71.17,Hotel Londres
537,Mayor Pablo Lagerenza,PY,82.83,broken clouds,-19.93,-60.77,
539,Panama City,PA,87.01,few clouds,8.99,-79.52,Trump International Hotel & Tower Panama
541,Oron,NG,77.27,light rain,4.83,8.23,Aqua Belloni Lodge
547,San Ramon,US,71.01,clear sky,37.78,-121.98,San Ramon Marriott
548,Cururupu,BR,80.69,overcast clouds,-1.83,-44.87,Pousada Través'cia
550,Arlit,NE,80.24,clear sky,18.74,7.39,Hôtel Telwa Bungalow
554,Capitao Poco,BR,83.59,heavy intensity rain,-1.75,-47.06,Hotel New Tokyo
556,Manzil Kamil,TN,71.01,clear sky,35.62,10.67,Boukarra Ali
558,Makakilo City,US,82.4,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
559,Isabela,PH,78.73,light rain,6.71,121.97,Isawad Resort
562,Kokoda,PG,76.93,overcast clouds,-8.88,147.74,Daito Guest House
564,Rehoboth,,76.95,overcast clouds,-23.32,17.08,Noble Luminous Accommodation
568,Ejido,VE,73.9,light rain,8.55,-71.24,Bora Bora Nails & Spa C.A.
569,Paita,PE,77.0,clear sky,-5.09,-81.11,Hotel Náutico de Paita
570,Dhaka,BD,80.6,haze,23.71,90.41,FARS Hotel & Resorts
574,Kimbe,PG,78.58,light rain,-5.55,150.14,Kimbe Bay Hotel
576,Sironj,IN,70.83,clear sky,24.1,77.7,shri shyam palace sironj
577,Muisne,EC,84.2,broken clouds,0.6,-80.03,Quinta Samay
578,Kendari,ID,75.96,overcast clouds,-3.94,122.5,Hotel Wixel
580,Luwuk,ID,76.95,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
581,Pacific Grove,US,71.6,clear sky,36.62,-121.92,Lovers Point Inn
582,Fayetteville,US,73.99,clear sky,35.05,-78.88,American Eagle Inn
583,Tejutla,GT,70.0,light rain,15.12,-91.8,Casa en venta Las Cruces Tejutla San Marcos
585,Catuday,PH,80.15,light rain,16.29,119.81,GResort
586,Acapulco,MX,87.8,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
588,Huntsville,US,73.4,overcast clouds,34.73,-86.59,Embassy Suites by Hilton Huntsville Hotel & Spa
595,Barmer,IN,76.68,clear sky,25.75,71.38,OYO 71911 Hotel Amber Palace
